Points,Weights
"[0.4825696  0.39863625 0.37467188 0.5426106  0.31509018 0.3055977
 0.655561   0.9641412  0.6789752  0.23768367 0.42177457 0.42593372]",0.04
"[0.6753581  0.5680598  0.6760362  0.9299419  0.37077278 0.38517657
 0.55952156 0.5156115  0.54118603 0.02634549 0.03421248 0.05375181]",0.04
"[0.05053902 0.04580784 0.0861031  0.03479515 0.09838173 0.6255063
 0.7726154  0.8537047  0.8849401  0.693928   0.712565   0.23866546]",0.04
"[0.9573251  0.351685   0.91564643 0.5948111  0.9674654  0.82074934
 0.34257117 0.35880437 0.64071673 0.44902414 0.47375178 0.84358054]",0.04
"[0.20999861 0.38459867 0.05482093 0.92490864 0.26254836 0.5103237
 0.31969428 0.810979   0.5838547  0.4004288  0.883583   0.987958  ]",0.04
"[0.23462747 0.03168043 0.5478716  0.6003765  0.6753166  0.96681976
 0.6885581  0.28202674 0.25069684 0.89676446 0.9809549  0.2714406 ]",0.04
"[0.26306134 0.78461564 0.15141296 0.31310567 0.02084234 0.5488273
 0.29828447 0.24494644 0.27642772 0.23059781 0.7362666  0.5084079 ]",0.04
"[0.930825   0.16592227 0.40561226 0.94213635 0.07724971 0.1969262
 0.21029477 0.9754964  0.87370586 0.24005377 0.14166622 0.68177825]",0.04
"[0.37680143 0.7512623  0.31480423 0.19658251 0.5237622  0.68832624
 0.91274    0.6493651  0.29914546 0.78006023 0.6721791  0.7828326 ]",0.04
"[0.3787701  0.28533688 0.70500535 0.6532736  0.93625367 0.09650398
 0.7814272  0.3129192  0.5707053  0.16982971 0.18294613 0.93014115]",0.04
"[0.92529124 0.78330797 0.09602346 0.27434152 0.94468814 0.2560451
 0.10038205 0.65575594 0.12429945 0.47728872 0.25915447 0.48288834]",0.04
"[0.41902512 0.27525678 0.25971878 0.17915985 0.74802893 0.9511871
 0.11347282 0.04779045 0.32974052 0.9801207  0.9539112  0.01806752]",0.04
"[0.61745226 0.589964   0.9302783  0.2937055  0.7491484  0.14799781
 0.02285253 0.5875084  0.3609395  0.4323507  0.21368824 0.09731908]",0.04
"[0.74433243 0.94745666 0.8478876  0.48174676 0.09034557 0.03347546
 0.38187066 0.45899945 0.1076868  0.8232129  0.05997606 0.4640945 ]",0.04
"[0.08686988 0.73280406 0.51795465 0.7803529  0.63353723 0.03608505
 0.96627384 0.10200313 0.8259556  0.07817614 0.77651805 0.63356984]",0.04
"[0.6262578  0.21427834 0.94729626 0.93639326 0.48788485 0.23529169
 0.5106627  0.8411764  0.99430895 0.9566184  0.72932565 0.5408837 ]",0.04
"[0.2309317  0.08337366 0.8020198  0.03542607 0.51411515 0.83649766
 0.06490649 0.18812118 0.01577695 0.78919226 0.52479327 0.90014887]",0.04
"[0.46356145 0.17677549 0.9014735  0.18239248 0.28826863 0.7365547
 0.9548927  0.26065245 0.06422651 0.51823795 0.3373103  0.6745703 ]",0.04
"[0.7251891  0.56477034 0.23024663 0.37302312 0.83869123 0.49816626
 0.18295088 0.48445848 0.50189006 0.18788832 0.75615335 0.7541359 ]",0.04
"[0.91815156 0.9797177  0.50290275 0.09217902 0.7483245  0.65996903
 0.7652308  0.8257573  0.8901361  0.62933916 0.39735892 0.83686745]",0.04
"[0.02652479 0.87484956 0.6261615  0.5679004  0.4191364  0.5558777
 0.5640027  0.02435847 0.36800143 0.76798457 0.07040332 0.32403234]",0.04
"[0.74239063 0.88911676 0.06478059 0.6739034  0.25522146 0.9218637
 0.38292423 0.601526   0.7041047  0.05679836 0.8721615  0.18095568]",0.04
"[0.14979939 0.6474414  0.6280319  0.78841716 0.20805351 0.28999442
 0.8656647  0.79671276 0.16966546 0.45214313 0.45679086 0.17931823]",0.04
"[0.7497112  0.53330195 0.3966733  0.7053901  0.79121196 0.79050314
 0.65080416 0.13781676 0.86395794 0.74403906 0.50940585 0.2107786 ]",0.04
"[0.51463497 0.43997973 0.51656705 0.4031271  0.5356616  0.40573534
 0.4318407  0.5193669  0.5789508  0.48189452 0.34314853 0.47788048]",0.04
