Points,Weights
"[0.16670051 0.07937764 0.23268896 0.18921682 0.18246908 0.37095547
 0.7641761  0.385253   0.29880962 0.62273973 0.57785004 0.8570356 ]",0.04
"[0.24940258 0.13146414 0.2052341  0.69436675 0.2584019  0.44680488
 0.74873906 0.29400042 0.7686342  0.7245332  0.62930846 0.90211654]",0.04
"[0.8395991  0.9269029  0.57779944 0.7517776  0.0856925  0.09702376
 0.94677454 0.5628201  0.9972864  0.917693   0.14977452 0.20729838]",0.04
"[0.5798954  0.0066039  0.89334387 0.06978859 0.44147095 0.7844471
 0.11787588 0.22802538 0.29785922 0.10808903 0.5738517  0.6653583 ]",0.04
"[0.80888885 0.7086044  0.33198336 0.3559553  0.72660613 0.24839689
 0.9278618  0.54709244 0.06757522 0.25916448 0.32180744 0.61802065]",0.04
"[0.00406375 0.89600974 0.35744005 0.6352471  0.02019411 0.5358234
 0.81230694 0.4088961  0.24601774 0.22282892 0.74661297 0.3473955 ]",0.04
"[0.6295089  0.43452272 0.5963649  0.78567886 0.79102945 0.18849681
 0.70926577 0.6730985  0.89499027 0.52452576 0.11839555 0.7283807 ]",0.04
"[0.2397225  0.6916668  0.7606104  0.3937065  0.14470574 0.88899267
 0.7556682  0.72483015 0.39050025 0.9462424  0.52548724 0.8485417 ]",0.04
"[0.8946812  0.4467831  0.6176699  0.28596944 0.47029138 0.23292564
 0.4415913  0.1955365  0.05904131 0.47086546 0.9516246  0.9439496 ]",0.04
"[0.1117387  0.4498314  0.7887709  0.87012804 0.27442896 0.615009
 0.5458156  0.26365435 0.92480356 0.9336537  0.13379127 0.19736171]",0.04
"[0.9493824  0.7140293  0.7837445  0.9492713  0.88642895 0.98976034
 0.00964681 0.06802929 0.04796715 0.40234217 0.7804881  0.5915808 ]",0.04
"[0.4038793  0.4439225  0.91711223 0.05648725 0.6906623  0.91946304
 0.9732927  0.8511963  0.10089326 0.9398187  0.30173987 0.7103484 ]",0.04
"[0.97266036 0.18884887 0.32272318 0.41062936 0.83302397 0.35842332
 0.49836865 0.9370767  0.51316994 0.7501502  0.94706684 0.97595996]",0.04
"[0.10849711 0.80493927 0.06670047 0.71992457 0.94228554 0.6623315
 0.15332755 0.68644255 0.83043885 0.20864041 0.40064698 0.74102426]",0.04
"[0.40779716 0.89102995 0.14486073 0.94345367 0.4004169  0.09329832
 0.32630828 0.74360824 0.8118587  0.6424757  0.71735173 0.350959  ]",0.04
"[0.6718766  0.250847   0.9402735  0.6325992  0.9829942  0.8777907
 0.5684488  0.0316835  0.57081413 0.48093632 0.06585976 0.1747386 ]",0.04
"[0.29523784 0.75185525 0.13997413 0.38815707 0.5455184  0.10237638
 0.17219502 0.94246054 0.20025651 0.24484873 0.23710977 0.02767843]",0.04
"[0.6271021  0.12689732 0.17071456 0.67886007 0.57423466 0.8410841
 0.17884082 0.18270206 0.7756218  0.16326018 0.42786455 0.33571723]",0.04
"[0.52601975 0.37380484 0.613513   0.45392686 0.06207753 0.7191569
 0.24248756 0.305544   0.345117   0.29159725 0.94842505 0.2043413 ]",0.04
"[0.8600201  0.4898078  0.5041511  0.12264639 0.2652419  0.564831
 0.44991654 0.97175586 0.6428999  0.02154316 0.27857453 0.41532415]",0.04
"[0.6356421  0.98555434 0.3860029  0.95212066 0.29588258 0.56287795
 0.06855587 0.04644754 0.47634867 0.0423159  0.0126661  0.10701635]",0.04
"[0.42126027 0.68542147 0.96335423 0.27804348 0.637806   0.68907094
 0.8003604  0.751984   0.35192007 0.678302   0.3945941  0.52411985]",0.04
"[0.32840353 0.16118102 0.6439416  0.03799401 0.6534271  0.3123855
 0.5427486  0.7546656  0.597331   0.6715068  0.85150576 0.03658998]",0.04
"[0.10090414 0.3052698  0.00316784 0.5775981  0.8606214  0.01171565
 0.34692985 0.43078378 0.7646329  0.46256348 0.7828641  0.5246853 ]",0.04
"[0.6665037  0.554202   0.53739566 0.2666785  0.47368714 0.38722193
 0.3987965  0.51265204 0.52563643 0.76888496 0.62446064 0.46394804]",0.04
